district_name,total_student_count,participation_rate,total,evidence_based_reading_writing,math
ROARING FORK RE-1,73.0,97.3,1026.0,520.0,506.0
GARFIELD RE-2,122.0,99.2,998.0,501.0,497.0
GARFIELD RE-2,185.0,97.8,922.0,462.0,461.0
GARFIELD 16,88.0,100.0,918.0,460.0,457.0
GILPIN COUNTY RE-1,34.0,94.1,1007.0,520.0,487.0
WEST GRAND 1-JT,45.0,77.8,868.0,452.0,416.0
EAST GRAND 2,89.0,96.6,1047.0,528.0,519.0
GUNNISON WATERSHED RE1J,50.0,100.0,1118.0,553.0,565.0
GUNNISON WATERSHED RE1J,114.0,97.4,990.0,506.0,484.0
HUERFANO RE-1,29.0,100.0,864.0,449.0,416.0
LA VETA RE-2,17.0,100.0,980.0,497.0,483.0
JEFFERSON COUNTY R-1,99.0,91.9,781.0,401.0,380.0
JEFFERSON COUNTY R-1,153.0,92.2,858.0,435.0,423.0
JEFFERSON COUNTY R-1,149.0,96.0,889.0,452.0,437.0
JEFFERSON COUNTY R-1,420.0,96.9,1030.0,522.0,508.0
JEFFERSON COUNTY R-1,331.0,97.0,1004.0,501.0,503.0
JEFFERSON COUNTY R-1,60.0,61.7,772.0,400.0,372.0
JEFFERSON COUNTY R-1,26.0,100.0,1059.0,542.0,517.0
JEFFERSON COUNTY R-1,416.0,98.6,1120.0,555.0,565.0
JEFFERSON COUNTY R-1,420.0,98.1,1051.0,526.0,525.0
JEFFERSON COUNTY R-1,33.0,100.0,1007.0,530.0,477.0
JEFFERSON COUNTY R-1,211.0,98.1,1107.0,554.0,553.0
JEFFERSON COUNTY R-1,349.0,96.6,1084.0,543.0,541.0
JEFFERSON COUNTY R-1,142.0,97.2,1272.0,613.0,659.0
JEFFERSON COUNTY R-1,263.0,95.8,1173.0,584.0,588.0
JEFFERSON COUNTY R-1,314.0,95.9,1075.0,541.0,534.0
JEFFERSON COUNTY R-1,282.0,97.5,1040.0,521.0,519.0
JEFFERSON COUNTY R-1,22.0,100.0,1192.0,600.0,592.0
JEFFERSON COUNTY R-1,107.0,26.2,944.0,491.0,454.0
JEFFERSON COUNTY R-1,98.0,100.0,1170.0,582.0,588.0
JEFFERSON COUNTY R-1,75.0,94.7,803.0,415.0,388.0
JEFFERSON COUNTY R-1,447.0,96.4,1085.0,546.0,538.0
JEFFERSON COUNTY R-1,18.0,94.4,887.0,445.0,442.0
JEFFERSON COUNTY R-1,53.0,60.4,775.0,394.0,380.0
JEFFERSON COUNTY R-1,51.0,98.0,906.0,482.0,424.0
JEFFERSON COUNTY R-1,330.0,97.6,958.0,485.0,473.0
JEFFERSON COUNTY R-1,416.0,96.2,1133.0,563.0,571.0
JEFFERSON COUNTY R-1,23.0,91.3,1019.0,509.0,510.0
JEFFERSON COUNTY R-1,288.0,96.9,1057.0,528.0,530.0
JEFFERSON COUNTY R-1,34.0,94.1,1032.0,538.0,494.0
JEFFERSON COUNTY R-1,240.0,89.6,1008.0,510.0,498.0
BURLINGTON RE-6J,42.0,97.6,839.0,434.0,405.0
LAKE COUNTY R-1,82.0,81.7,917.0,462.0,455.0
DURANGO 9-R,70.0,62.9,977.0,500.0,477.0
DURANGO 9-R,251.0,97.2,1053.0,535.0,518.0
DURANGO 9-R,17.0,100.0,859.0,459.0,399.0
BAYFIELD 10 JT-R,61.0,96.7,1032.0,523.0,509.0
IGNACIO 11 JT,56.0,96.4,859.0,439.0,420.0
POUDRE R-1,19.0,100.0,1238.0,636.0,602.0
POUDRE R-1,419.0,89.5,1088.0,547.0,540.0
POUDRE R-1,463.0,93.5,1151.0,571.0,580.0
POUDRE R-1,36.0,91.7,871.0,449.0,422.0
POUDRE R-1,78.0,98.7,1315.0,650.0,664.0
POUDRE R-1,46.0,93.5,1079.0,568.0,511.0
POUDRE R-1,393.0,91.6,1015.0,510.0,505.0
POUDRE R-1,46.0,67.4,809.0,415.0,394.0
POUDRE R-1,26.0,92.3,948.0,488.0,460.0
POUDRE R-1,453.0,93.6,1069.0,538.0,531.0
